Department Name,Date Received,Publisher,Software Package,Licenses,Annual Cost,Once off Cost,,
Department of Public Service and Administration,03 May 2013,Kaspersky,Kaspersky EnterpriseSpace Security,600,,"R 92,568.00",,
Department of Public Service and Administration,03 May 2013,Policy Patrol,Policy Patrol Disclaimers,500,,"R 14,687.17",,
Department of Public Service and Administration,03 May 2013,Adobe,Acrobat Professional 11 Multiple Platform International English,10,,"R 14,260.00",,
Department of Public Service and Administration,03 May 2013,Adobe,Dreamweaver CS6 12 Mul International English,3,,"R 6,882.00",,
Department of Public Service and Administration,03 May 2013,Adobe,CS6 Master Collection 6 Mul International English,1,,"R 4,842.00",,
Department of Public Service and Administration,03 May 2013,Adobe,CS6 Production Premium 6 Mul International English A00 Licence,2,,"R 34,946.00",,
Department of Public Service and Administration,03 May 2013,Esri,ArcGIS Desktop 10.1,2,,"R 86,640.00",,
Department of Public Service and Administration,03 May 2013,Microsoft,Office professional enterprise,626,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Windows professional,626,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,CoreCal UserCAL,626,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Project,4,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Project professional project server CAL,75,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Visio professional,5,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Exchange server enterprise,5,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Lync Server standard,1,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Project server,1,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Project server DvcCAL,75,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Sharepoint enterprise DvcCAL,30,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Sharepoint server,1,,,,
Department of Public Service and Administration,03 May 2013,Microsoft,SQL server enterprise core,16,,,,
Department of Public Service and Administration,03 May 2013,Microsoft,SQL server standard core,20,,,,
Department of Public Service and Administration,03 May 2013,Microsoft,System center standard,30,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Windows rights manager server CAL,14,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Windows server standard,45,,,Microsoft Volume Licensing,
Department of Public Service and Administration,03 May 2013,Microsoft,Microsoft Volume Licensing,,"R 247,118.84",,,
Government Communication and Information System (GCIS),03 June 2013,Microsoft,Microsoft Enterprise Agreement (EA),490,,,,
Government Communication and Information System (GCIS),03 June 2013,Symantec,Symantec Protection Suite Enterprise Edition 4.0,400,,,,
Government Communication and Information System (GCIS),03 June 2013,Symantec,Symantec Backup Exec 12.5,21,,,,
Government Communication and Information System (GCIS),03 June 2013,,Attachmate Extra Enterprise,30,,,,
Government Communication and Information System (GCIS),03 June 2013,,Ptawebsense,400,,,,
Government Communication and Information System (GCIS),03 June 2013,BarnOwl,Barnowl,Unlimited,,,,
